datetime,S,K,sigma,T_years,combo_exec,legs_exec_mean,legging_extra_mean,legging_extra_p50,legging_extra_p90,legging_extra_p99,total_cost_legs_mean,total_extra_mean,total_extra_p90,total_extra_p99
2022-08-31,395.18,395.0,0.2343329264533703,0.0821917808219178,21.17655718350195,21.178966853753945,0.0024096702519980973,0.002120145555245756,0.01714930339017293,0.028973595409703515,2117.896685375395,0.2409670251998097,1.714930339017293,2.897359540970352
2022-09-01,396.42,396.0,0.2328311070912335,0.07945205479452055,20.74823620798765,20.750600125286073,0.0023639172984250803,0.002077289789113479,0.01695112291323788,0.02865345291361101,2075.060012528608,0.23639172984250806,1.695112291323788,2.865345291361101
2022-09-30,357.18,357.0,0.2883833317216597,0.07671232876712329,22.75396708940048,22.756565917171393,0.002598827770915058,0.002278159667268298,0.01891478182212367,0.032004205617521236,2275.6565917171397,0.2598827770915058,1.891478182212367,3.2004205617521237
2022-10-03,366.61,367.0,0.2883280084523103,0.0821917808219178,24.18978655911701,24.19254208940929,0.0027555302922808358,0.002421850791224145,0.01974530617996599,0.03337454351926882,2419.254208940929,0.27555302922808356,1.9745306179965991,3.337454351926882
2022-11-01,384.52,385.0,0.2558503732529233,0.0821917808219178,22.518480658504377,22.52104795898354,0.0025673004791647797,0.002254541957768197,0.018493396269106906,0.03126924772866725,2252.1047958983545,0.25673004791647797,1.8493396269106908,3.1269247728667247
2022-12-01,407.38,407.0,0.2237077655179331,0.07945205479452055,20.4875400321462,20.489874847841286,0.002334815695084629,0.00205119481259608,0.016769435640239645,0.028349328818351355,2048.9874847841284,0.23348156950846286,1.6769435640239647,2.834932881835136
2022-12-30,382.43,382.0,0.205439026528736,0.07671232876712329,17.355335643248182,17.357317473521586,0.0019818302734055456,0.0017376372626074499,0.014406364338812237,0.02437392632582781,1735.7317473521587,0.19818302734055457,1.4406364338812236,2.437392632582781
2023-01-03,380.82,381.0,0.2127715827942408,0.0821917808219178,18.53870445171253,18.540817494655407,0.0021130429428749004,0.0018560832636929092,0.015197340883234031,0.02569354168899333,1854.0817494655407,0.2113042942874901,1.5197340883234032,2.5693541688993333
2023-02-01,410.8,411.0,0.173279753517271,0.0821917808219178,16.287627618059002,16.28948547363871,0.00185785557970663,0.0016307199254477212,0.01342450417756744,0.022703186264620062,1628.948547363871,0.18578555797066298,1.342450417756744,2.2703186264620063
2023-03-01,394.74,395.0,0.1842792343189812,0.0821917808219178,16.646059313987614,16.64795823344521,0.0018989194575930797,0.0016666078483709157,0.013729289440496116,0.02321951786822047,1664.7958233445206,0.18989194575930796,1.3729289440496115,2.321951786822047
