datetime,S,sigma,K,expiry,T_years,contracts,shares,opt_price_straddle,opt_value,delta_opt,gamma_opt,vega_1pct_opt,theta_day_opt,cash,equity
2021-06-07,422.19,0.15370128960300727,420.0,2021-07-01,0.06575342465753424,1.0,-3.04350462176704,13.356340617597908,1335.6340617597907,12.054656471030528,4.740244345365325,85.39107917948382,-27.343164563498267,98239.04188298024,98289.7387284762
2021-06-08,422.28,0.15555739145637335,420.0,2021-07-01,0.06301369863013699,1.0,-3.04350462176704,13.246284084988844,1324.6284084988843,12.56759620802461,4.77858130859497,83.52675879432464,-28.24609720619745,98239.04188298024,98278.45915979934
2021-06-09,421.65,0.15867673805649585,420.0,2021-07-01,0.06027397260273973,1.0,-3.04350462176704,13.1457185325568,1314.5718532556798,9.561673422472339,4.822545009862192,82.00183660215419,-29.57223624243544,98239.04188298024,98270.32001246784
2021-06-10,423.61,0.1357346389904152,420.0,2021-07-01,0.057534246575342465,1.0,-3.04350462176704,11.333237856789168,1133.323785678917,21.987089477350686,5.564148546246539,77.9737185053499,-25.199367933485533,98239.04188298024,98083.10667583242
2021-06-11,424.31,0.1302232610027743,420.0,2021-07-01,0.0547945205479452,1.0,-3.04350462176704,10.837705490022444,1083.7705490022445,27.378878906385573,5.8019408479687655,74.53590500122371,-24.265771527630868,98239.04188298024,98031.42298592051
2021-06-14,425.26,0.12854005725643122,420.0,2021-07-01,0.04657534246575343,1.0,-3.04350462176704,10.28002662744268,1028.002662744268,35.62968322543898,6.077351506486037,65.79879977267485,-24.875827912306118,98239.04188298024,97972.76377027185
2021-06-15,424.48,0.1321575023077063,420.0,2021-07-01,0.043835616438356165,1.0,-3.04350462176704,9.998607486310021,999.8607486310021,30.88481974020476,6.2777301579047675,65.52937860332364,-27.063121887472818,98239.04188298024,97946.99578976358
2021-06-16,422.11,0.13709692001659501,420.0,2021-07-01,0.0410958904109589,1.0,-3.04350462176704,9.488019585045322,948.8019585045322,15.398488614823963,6.674176126073752,67.00003626426118,-30.6183287094346,98239.04188298024,97903.15010559067
2021-06-17,421.97,0.13421727529971142,420.0,2021-07-01,0.038356164383561646,1.0,-3.04350462176704,8.968706370165364,896.8706370165364,15.160394204684824,7.063126956150706,64.74463003636508,-31.035170834888486,98239.04188298024,97851.64487474973
2021-06-18,414.92,0.15888616009377463,420.0,2021-07-01,0.03561643835616438,1.0,-3.04350462176704,10.798608187423355,1079.8608187423356,-30.408159117773437,5.941478393211814,57.884170980838114,-35.373052528295645,98239.04188298024,98056.09176405899
2021-06-21,420.86,0.14745568564372966,420.0,2021-07-01,0.0273972602739726,1.0,-3.04350462176704,8.21598539192567,821.598539192567,7.648924109373656,7.731888380457484,55.32603357153626,-40.79069107119441,98239.04188298024,97779.75106705593
2021-06-22,423.11,0.13821308176705988,420.0,2021-07-01,0.024657534246575342,1.0,-3.04350462176704,7.717489553945967,771.7489553945967,27.424465777509617,8.170412077275275,49.848183397124785,-38.27595026559003,98239.04188298024,97723.05359785898
2021-06-23,422.6,0.13604861571036664,420.0,2021-07-01,0.021917808219178082,1.0,-3.04350462176704,7.085774800969517,708.5774800969517,24.83557654629455,8.915990434408696,47.480996935387125,-40.373274410047365,98239.04188298024,97661.43430991843
2021-06-24,425.1,0.13466629271169872,420.0,2021-07-01,0.019178082191780823,1.0,-3.04350462176704,7.56005521833508,756.005521833508,48.85108247757497,8.113211436322896,37.8650979022899,-36.42251684047787,98239.04188298024,97701.25359010058
2021-06-25,426.61,0.13277129347237782,420.0,2021-07-01,0.01643835616438356,1.0,-64.54693213392892,8.011928760515303,801.1928760515303,64.54693213392892,7.1571914764661555,28.429372302616006,-31.45503777688432,124477.01909394361,97741.84525233973
2021-06-28,427.47,0.13362397487798516,420.0,2021-07-01,0.00821917808219178,1.0,-64.54693213392892,7.802912381705951,780.2912381705951,85.60700479772869,5.297034112467828,10.630576787724118,-23.674998760355663,124477.01909394361,97665.43325282361
2021-06-29,427.7,0.13510032563196678,420.0,2021-07-01,0.005479452054794521,1.0,-64.54693213392892,7.816042514984877,781.6042514984878,93.14882875838526,3.549860824162902,4.807102183894928,-16.23602675975858,124477.01909394361,97651.9004717607
2021-06-30,428.06,0.13394931545290345,420.0,2021-07-01,0.0027397260273972603,1.0,-64.54693213392892,8.066076494068907,806.6076494068907,99.33660181412844,0.6673864054175689,0.44878081633572925,-3.0056941568283064,124477.01909394361,97653.66697410088
2021-07-01,430.43,0.1317280578561927,430.0,2021-07-30,0.07945205479452055,1.0,-3.6278335725413946,12.749372470230497,1274.9372470230496,3.6278335725413946,4.987207560418401,96.70433252546663,-21.96323087906752,98023.67425314254,97737.0830955366
2021-07-02,433.72,0.12869220782820862,430.0,2021-07-30,0.07671232876712329,1.0,-3.6278335725413946,12.638172848000437,1263.8172848000436,20.47421781727028,4.990272323430099,92.67456641504434,-21.297311716917875,98023.67425314254,97714.02756085993
2021-07-06,432.93,0.1370384017702391,430.0,2021-07-30,0.06575342465753424,1.0,-3.6278335725413946,12.321796337702722,1232.1796337702722,16.697321136025245,5.1294366557143505,86.62947771099194,-24.732427441051843,98023.67425314254,97685.25589835247
2021-07-07,434.46,0.13569565959193816,430.0,2021-07-30,0.06301369863013699,1.0,-3.6278335725413946,12.281574246148864,1228.1574246148864,25.100148402845267,5.122435250310637,82.67553255882355,-24.388502005835473,98023.67425314254,97675.68310383109
2021-07-08,430.92,0.15467976174165826,430.0,2021-07-30,0.06027397260273973,1.0,-3.6278335725413946,13.062676490746384,1306.2676490746385,5.999842059443727,4.861998422071457,84.17273265641593,-29.590495982815256,98023.67425314254,97766.63585913763
2021-07-09,435.52,0.13970708379217822,430.0,2021-07-30,0.057534246575342465,1.0,-3.6278335725413946,12.398542311857028,1239.8542311857027,30.892515782342578,5.051932041988153,77.02266914002934,-25.620505932007852,98023.67425314254,97683.53440681502
2021-07-12,437.08,0.1397598705938733,430.0,2021-07-30,0.049315068493150684,1.0,-3.6278335725413946,12.188223171444434,1218.8223171444433,41.1979512339333,5.079088334137935,66.8759193464605,-25.962693982521184,98023.67425314254,97656.84307240059
2021-07-13,435.59,0.14599816814079186,430.0,2021-07-30,0.04657534246575343,1.0,-3.6278335725413946,11.781497685932237,1178.1497685932236,32.96623246215296,5.309920765891365,68.50894916814698,-29.418179646470836,98023.67425314254,97621.57599587247
2021-07-14,436.24,0.14102005723326871,430.0,2021-07-30,0.043835616438356165,1.0,-3.6278335725413946,11.394044043528652,1139.4044043528652,38.48448246812723,5.459328403723239,64.22412470141701,-28.302780441095045,98023.67425314254,97580.47253980995
