datetime,close,hv,vix,sigma_proxy
2021-08-25,448.91,0.08072707397226404,16.79,0.1330308295889056
2021-08-26,446.26,0.08360917196281693,18.84,0.14648366878512678
2021-08-27,450.25,0.08585014469637678,16.39,0.13268005787855072
2021-08-30,452.23,0.08550929301940961,16.19,0.13134371720776386
2021-08-31,451.56,0.08262982205178428,16.48,0.1319319288207137
2021-09-01,451.8,0.07949946709200867,16.11,0.12845978683680348
2021-09-02,453.19,0.07767575134263277,16.41,0.1295303005370531
2021-09-03,453.08,0.07784556830970334,16.41,0.12959822732388132
2021-09-07,451.46,0.07939183711944686,18.14,0.14059673484777874
2021-09-08,450.91,0.07979003633446521,17.96,0.13967601453378609
2021-09-09,448.98,0.08163219296227602,18.8,0.1454528771849104
2021-09-10,445.44,0.08640451166063413,20.95,0.16026180466425363
2021-09-13,446.58,0.08664560532819435,19.37,0.15087824213127773
2021-09-14,444.17,0.08830467452288153,19.46,0.15208186980915261
2021-09-15,447.88,0.0901038276185044,18.18,0.14512153104740175
2021-09-16,447.17,0.07987049908276608,18.69,0.14408819963310643
2021-09-17,441.4,0.09376634302004841,20.81,0.16236653720801936
2021-09-20,434.04,0.1068539534108271,25.71,0.19700158136433082
2021-09-21,433.63,0.10038149935941894,24.36,0.18631259974376757
2021-09-22,437.86,0.10762240470950983,20.87,0.16826896188380394
2021-09-23,443.18,0.11702492359845523,18.63,0.15858996943938208
2021-09-24,443.91,0.11557153952833539,17.75,0.15272861581133415
2021-09-27,442.64,0.11063712974199609,18.76,0.15681485189679845
2021-09-28,433.72,0.12851598945142712,23.25,0.19090639578057086
2021-09-29,434.45,0.1292032118560942,22.56,0.18704128474243767
2021-09-30,429.14,0.13389974680643332,23.14,0.19239989872257332
2021-10-01,434.24,0.14213072700397422,21.15,0.18375229080158967
2021-10-04,428.64,0.14698895192906833,22.96,0.19655558077162733
2021-10-05,433.1,0.15411908878129219,21.3,0.18944763551251687
2021-10-06,434.9,0.1556841169011084,21.0,0.18827364676044336
2021-10-07,438.66,0.15963869787000934,19.54,0.18109547914800372
2021-10-08,437.86,0.15767334198993802,18.77,0.1756893367959752
2021-10-11,434.69,0.15870383900773893,20.0,0.18348153560309557
2021-10-12,433.62,0.15804688412048495,19.85,0.182318753648194
2021-10-13,435.18,0.1551344085768338,18.64,0.17389376343073354
2021-10-14,442.5,0.16792669897778095,16.86,0.16833067959111236
2021-10-15,445.87,0.1634976565601046,16.3,0.16319906262404182
2021-10-18,447.19,0.1502463231373981,16.31,0.15795852925495923
2021-10-19,450.64,0.15150721460257463,15.7,0.15480288584102986
2021-10-20,452.41,0.14893457085206036,15.49,0.15251382834082416
2021-10-21,453.59,0.1438341462636552,15.01,0.14759365850546208
2021-10-22,453.12,0.14402924733367994,15.43,0.15019169893347198
2021-10-25,455.55,0.1440365296557823,15.24,0.14905461186231295
2021-10-26,455.96,0.11895530907846902,15.98,0.1434621236313876
2021-10-27,453.94,0.12147218470032681,16.98,0.15046887388013072
2021-10-28,458.32,0.11126506424527668,16.53,0.14368602569811068
2021-10-29,459.25,0.10664719217070137,16.26,0.14021887686828055
2021-11-01,460.04,0.0891250831578297,16.41,0.13411003326313187
2021-11-02,461.9,0.08546276472888865,16.03,0.13036510589155548
2021-11-03,464.72,0.08601759300000798,15.1,0.1250070372000032
2021-11-04,466.91,0.08392166910834634,15.44,0.12620866764333852
2021-11-05,468.53,0.0818620864938458,16.48,0.13162483459753832
2021-11-08,468.93,0.07237422933143335,17.22,0.13226969173257333
2021-11-09,467.38,0.0733995153081467,17.78,0.1360398061232587
2021-11-10,463.62,0.08456833231719227,18.73,0.1462073329268769
2021-11-11,463.77,0.0682549070138046,17.66,0.13326196280552183
2021-11-12,467.27,0.06818560675617161,16.29,0.12501424270246864
2021-11-15,467.43,0.06850486046625937,16.49,0.12634194418650374
2021-11-16,469.28,0.06577644568141587,16.37,0.12453057827256635
2021-11-17,468.14,0.06720048677547859,17.11,0.12954019471019143
2021-11-18,469.73,0.06739704085899605,17.59,0.13249881634359842
2021-11-19,468.89,0.06786122755267064,17.91,0.13460449102106825
2021-11-22,467.57,0.06824595223566941,19.17,0.14231838089426777
2021-11-23,468.19,0.06822937349154501,19.38,0.143571749396618
2021-11-24,469.44,0.064846725885974,18.58,0.13741869035438958
2021-11-26,458.97,0.10235274246984497,28.97,0.214761096987938
2021-11-29,464.6,0.11092992381953377,22.96,0.18213196952781352
2021-11-30,455.56,0.13195683086067816,27.19,0.21592273234427128
2021-12-01,450.5,0.13601713222924383,31.12,0.24112685289169755
2021-12-02,457.4,0.14601605045681904,27.95,0.2261064201827276
2021-12-03,453.42,0.14709757134170218,30.67,0.2428590285366809
2021-12-06,458.79,0.15360492429446543,27.18,0.22452196971778615
2021-12-07,468.28,0.17156868856116794,21.89,0.1999674754244672
2021-12-08,469.52,0.1713785744730787,19.9,0.18795142978923146
2021-12-09,466.35,0.1706017161200218,21.58,0.19772068644800872
2021-12-10,470.74,0.17361794081864076,18.69,0.1815871763274563
2021-12-13,466.57,0.174898818912607,20.31,0.19181952756504278
2021-12-14,463.36,0.17655300569473328,21.89,0.20196120227789333
2021-12-15,470.6,0.18492622076234497,19.29,0.18971048830493797
2021-12-16,466.45,0.18750041097250217,20.57,0.19842016438900084
2021-12-17,459.87,0.19336795133782722,21.57,0.2067671805351309
2021-12-20,454.98,0.19637076555776348,22.87,0.2157683062231054
2021-12-21,463.06,0.20761758874427422,21.01,0.2091070354977097
2021-12-22,467.69,0.21084627149132587,18.63,0.19611850859653035
2021-12-23,470.6,0.21182274095281745,17.96,0.192489096381127
2021-12-27,477.26,0.19932845877452382,17.68,0.18581138350980952
2021-12-28,476.87,0.19578361315960216,17.54,0.18355344526384088
2021-12-29,477.48,0.17949381548262788,16.95,0.17349752619305114
2021-12-30,476.16,0.17347794601222855,17.33,0.1733711784048914
2021-12-31,474.96,0.16795393056473057,17.22,0.17050157222589224
2022-01-03,477.71,0.16362388706384817,16.6,0.1650495548255393
2022-01-04,477.55,0.1602391054188947,16.91,0.16555564216755786
2022-01-05,468.38,0.16176544446471847,19.73,0.18308617778588737
2022-01-06,467.94,0.1614915362244176,19.61,0.18225661448976704
2022-01-07,466.09,0.16026940005037432,18.76,0.17666776002014972
2022-01-10,465.51,0.1563967221382357,19.4,0.17895868885529426
2022-01-11,469.75,0.15669214531146872,18.41,0.1731368581245875
2022-01-12,471.02,0.15449685108318037,17.62,0.16751874043327217
2022-01-13,464.53,0.1526458113618907,20.31,0.18291832454475626
2022-01-14,464.72,0.1495492432010081,19.19,0.17495969728040325
2022-01-18,456.49,0.15458209876153947,22.79,0.1985728395046158
2022-01-19,451.75,0.15436091552007736,23.85,0.20484436620803095
2022-01-20,446.75,0.1433225291618391,25.59,0.21086901166473565
2022-01-21,437.98,0.14979268399507245,28.85,0.23301707359802898
2022-01-24,439.84,0.14829743348815055,29.9,0.23871897339526021
2022-01-25,434.47,0.13620940483481989,31.16,0.24144376193392794
2022-01-26,433.38,0.13570120308009193,31.96,0.24604048123203676
2022-01-27,431.24,0.13379995322495875,30.49,0.2364599812899835
2022-01-28,441.95,0.17022535486059245,27.66,0.23405014194423698
2022-01-31,449.91,0.18670294620419806,24.83,0.2236611784816792
2022-02-01,452.95,0.18731214020344478,21.96,0.20668485608137793
2022-02-02,457.35,0.192259104314945,22.09,0.209443641725978
2022-02-03,446.6,0.19803128870366687,24.35,0.22531251548146675
